Bootstrap_Run,Metric,Improvement,Positive_Means
18,Macro_AUROC,0.03372196803859984,Higher CatBoost value is better
18,Macro_AUPRC,0.042994638912470906,Higher CatBoost value is better
18,Log_Loss,0.014777318127802808,Lower CatBoost value is better
18,Multiclass_Brier_Score,0.005811425748645349,Lower CatBoost value is better
19,Accuracy,0.021276595744680882,Higher CatBoost value is better
19,Balanced_Accuracy,0.024252111907899443,Higher CatBoost value is better
19,Macro_F1,0.02416391732768175,Higher CatBoost value is better
19,MCC,0.027026008084490072,Higher CatBoost value is better
19,Macro_Specificity,0.010522425798420776,Higher CatBoost value is better
19,Macro_AUROC,0.03429321094986082,Higher CatBoost value is better
19,Macro_AUPRC,0.05407312344967696,Higher CatBoost value is better
19,Log_Loss,0.0397023329493007,Lower CatBoost value is better
19,Multiclass_Brier_Score,0.01808103243623843,Lower CatBoost value is better
20,Accuracy,0.040000000000000036,Higher CatBoost value is better
20,Balanced_Accuracy,0.0422754329004329,Higher CatBoost value is better
20,Macro_F1,0.042923804262466,Higher CatBoost value is better
20,MCC,0.055894415234910344,Higher CatBoost value is better
20,Macro_Specificity,0.01884367518040042,Higher CatBoost value is better
20,Macro_AUROC,0.022461588155968437,Higher CatBoost value is better
20,Macro_AUPRC,0.024887059789910237,Higher CatBoost value is better
20,Log_Loss,0.03571966118575509,Lower CatBoost value is better
20,Multiclass_Brier_Score,0.022091654425617058,Lower CatBoost value is better
21,Accuracy,0.021739130434782594,Higher CatBoost value is better
21,Balanced_Accuracy,0.022642543859649145,Higher CatBoost value is better
21,Macro_F1,0.02440711596292644,Higher CatBoost value is better
21,MCC,0.025559491335895745,Higher CatBoost value is better
21,Macro_Specificity,0.008637765597680591,Higher CatBoost value is better
21,Macro_AUROC,0.03042561688131329,Higher CatBoost value is better
21,Macro_AUPRC,0.04518228842015726,Higher CatBoost value is better
21,Log_Loss,0.007464401374991159,Lower CatBoost value is better
21,Multiclass_Brier_Score,0.006805210349757507,Lower CatBoost value is better
22,Accuracy,0.025531914893617058,Higher CatBoost value is better
22,Balanced_Accuracy,0.025454124725211136,Higher CatBoost value is better
22,Macro_F1,0.02807013142499848,Higher CatBoost value is better
22,MCC,0.03378188984155983,Higher CatBoost value is better
22,Macro_Specificity,0.012118344727898744,Higher CatBoost value is better
22,Macro_AUROC,0.03128978868935084,Higher CatBoost value is better
22,Macro_AUPRC,0.024540714738137348,Higher CatBoost value is better
22,Log_Loss,0.00757034558083014,Lower CatBoost value is better
22,Multiclass_Brier_Score,0.01624824415079562,Lower CatBoost value is better
23,Accuracy,0.025531914893617058,Higher CatBoost value is better
23,Balanced_Accuracy,0.01938616938616944,Higher CatBoost value is better
23,Macro_F1,0.028940709878917947,Higher CatBoost value is better
23,MCC,0.021972708027599874,Higher CatBoost value is better
23,Macro_Specificity,0.00833184983646118,Higher CatBoost value is better
23,Macro_AUROC,0.028658797853039708,Higher CatBoost value is better
23,Macro_AUPRC,0.03653059074328313,Higher CatBoost value is better
23,Log_Loss,-0.0211703334571246,Lower CatBoost value is better
23,Multiclass_Brier_Score,-0.004019440005718411,Lower CatBoost value is better
24,Accuracy,0.013043478260869601,Higher CatBoost value is better
24,Balanced_Accuracy,0.011820666243454792,Higher CatBoost value is better
24,Macro_F1,0.01625535658741528,Higher CatBoost value is better
24,MCC,0.012687823592755776,Higher CatBoost value is better
24,Macro_Specificity,0.004912961434700547,Higher CatBoost value is better
24,Macro_AUROC,0.025879117977090638,Higher CatBoost value is better
24,Macro_AUPRC,0.0173147919571619,Higher CatBoost value is better
24,Log_Loss,-0.0064701224319309025,Lower CatBoost value is better
24,Multiclass_Brier_Score,0.002658959905248004,Lower CatBoost value is better
25,Accuracy,0.025000000000000022,Higher CatBoost value is better
25,Balanced_Accuracy,0.02898550724637683,Higher CatBoost value is better
25,Macro_F1,0.02691355083244862,Higher CatBoost value is better
25,MCC,0.03000490755860341,Higher CatBoost value is better
25,Macro_Specificity,0.011089055711481333,Higher CatBoost value is better
25,Macro_AUROC,0.02654703807890324,Higher CatBoost value is better
25,Macro_AUPRC,0.02540137308573409,Higher CatBoost value is better
25,Log_Loss,0.012416119766289757,Lower CatBoost value is better
25,Multiclass_Brier_Score,0.003542032216289015,Lower CatBoost value is better
26,Accuracy,0.033333333333333326,Higher CatBoost value is better
26,Balanced_Accuracy,0.0332896270396269,Higher CatBoost value is better
26,Macro_F1,0.03807931014185417,Higher CatBoost value is better
26,MCC,0.04029764986842832,Higher CatBoost value is better
26,Macro_Specificity,0.014323470980559083,Higher CatBoost value is better
26,Macro_AUROC,0.04176206809308658,Higher CatBoost value is better
26,Macro_AUPRC,0.05626842162953227,Higher CatBoost value is better
26,Log_Loss,0.025440468739515443,Lower CatBoost value is better
26,Multiclass_Brier_Score,0.018137439584726633,Lower CatBoost value is better
27,Accuracy,0.04680851063829794,Higher CatBoost value is better
27,Balanced_Accuracy,0.04483749761917133,Higher CatBoost value is better
27,Macro_F1,0.05011211960962325,Higher CatBoost value is better
27,MCC,0.0622434475979734,Higher CatBoost value is better
27,Macro_Specificity,0.020766324234532285,Higher CatBoost value is better
27,Macro_AUROC,0.016838697217023135,Higher CatBoost value is better
27,Macro_AUPRC,0.014812749204264675,Higher CatBoost value is better
27,Log_Loss,0.03285292148306529,Lower CatBoost value is better
27,Multiclass_Brier_Score,0.027608519809130816,Lower CatBoost value is better
28,Accuracy,0.02499999999999991,Higher CatBoost value is better
28,Balanced_Accuracy,0.026289009497964866,Higher CatBoost value is better
28,Macro_F1,0.027842949587053578,Higher CatBoost value is better
28,MCC,0.03292876855961435,Higher CatBoost value is better
28,Macro_Specificity,0.011614669715496961,Higher CatBoost value is better
28,Macro_AUROC,0.04009033969337539,Higher CatBoost value is better
28,Macro_AUPRC,0.048453216947489164,Higher CatBoost value is better
28,Log_Loss,0.03129888361222555,Lower CatBoost value is better
28,Multiclass_Brier_Score,0.019626941882076143,Lower CatBoost value is better
29,Accuracy,0.0444444444444444,Higher CatBoost value is better
29,Balanced_Accuracy,0.04943191404433589,Higher CatBoost value is better
29,Macro_F1,0.04581261216434074,Higher CatBoost value is better
29,MCC,0.06179950826039904,Higher CatBoost value is better
29,Macro_Specificity,0.020186836721646784,Higher CatBoost value is better
29,Macro_AUROC,0.0245821985922271,Higher CatBoost value is better
29,Macro_AUPRC,0.032884885794509766,Higher CatBoost value is better
29,Log_Loss,0.030038959782103358,Lower CatBoost value is better
29,Multiclass_Brier_Score,0.019710961676357663,Lower CatBoost value is better
30,Accuracy,0.03749999999999998,Higher CatBoost value is better
30,Balanced_Accuracy,0.03815086042512528,Higher CatBoost value is better
30,Macro_F1,0.04182156605099174,Higher CatBoost value is better
30,MCC,0.04840713836022503,Higher CatBoost value is better
30,Macro_Specificity,0.01719476763606831,Higher CatBoost value is better
30,Macro_AUROC,0.04913497270986622,Higher CatBoost value is better
30,Macro_AUPRC,0.05888906327733534,Higher CatBoost value is better
30,Log_Loss,0.0401547310819268,Lower CatBoost value is better
30,Multiclass_Brier_Score,0.035165215944301886,Lower CatBoost value is better
31,Accuracy,0.025000000000000022,Higher CatBoost value is better
31,Balanced_Accuracy,0.02441196574323501,Higher CatBoost value is better
31,Macro_F1,0.028943996129822014,Higher CatBoost value is better
31,MCC,0.027762296910191386,Higher CatBoost value is better
31,Macro_Specificity,0.010104742178774995,Higher CatBoost value is better
31,Macro_AUROC,0.03968461940943113,Higher CatBoost value is better
31,Macro_AUPRC,0.05124614874019762,Higher CatBoost value is better
31,Log_Loss,0.0209378278040957,Lower CatBoost value is better
31,Multiclass_Brier_Score,0.012589429158018972,Lower CatBoost value is better
32,Accuracy,0.025000000000000022,Higher CatBoost value is better
32,Balanced_Accuracy,0.02736972929178516,Higher CatBoost value is better
32,Macro_F1,0.022087513044959817,Higher CatBoost value is better
32,MCC,0.03484623400899167,Higher CatBoost value is better
32,Macro_Specificity,0.012889927080414032,Higher CatBoost value is better
32,Macro_AUROC,0.021616337934910357,Higher CatBoost value is better
32,Macro_AUPRC,0.024062328827122004,Higher CatBoost value is better
32,Log_Loss,0.03944537883694743,Lower CatBoost value is better
32,Multiclass_Brier_Score,0.022246455479874583,Lower CatBoost value is better
33,Accuracy,0.008333333333333304,Higher CatBoost value is better
33,Balanced_Accuracy,0.005042016806722671,Higher CatBoost value is better
33,Macro_F1,0.011970503198222793,Higher CatBoost value is better
33,MCC,-0.0018477034375909973,Higher CatBoost value is better
33,Macro_Specificity,-0.0002845020718095226,Higher CatBoost value is better
33,Macro_AUROC,0.04405696713018448,Higher CatBoost value is better
