Model,State,Point,False_Positive_Rate,True_Positive_Rate,Threshold,State_AUROC
CatBoost,2,20,0.0718562874251497,0.7352941176470589,0.5716189046781226,0.9432898908066221
CatBoost,2,21,0.0718562874251497,0.75,0.5635276800858827,0.9432898908066221
CatBoost,2,22,0.07784431137724551,0.75,0.5472683019172287,0.9432898908066221
CatBoost,2,23,0.07784431137724551,0.7647058823529411,0.5431129947738067,0.9432898908066221
CatBoost,2,24,0.08383233532934131,0.7647058823529411,0.5420592565246551,0.9432898908066221
CatBoost,2,25,0.08383233532934131,0.7794117647058824,0.5144568817494165,0.9432898908066221
CatBoost,2,26,0.08982035928143713,0.7794117647058824,0.5067049022543184,0.9432898908066221
CatBoost,2,27,0.08982035928143713,0.7941176470588235,0.4826255913169249,0.9432898908066221
CatBoost,2,28,0.10179640718562874,0.7941176470588235,0.4565674803497305,0.9432898908066221
CatBoost,2,29,0.10179640718562874,0.8382352941176471,0.4334120373732312,0.9432898908066221
CatBoost,2,30,0.10778443113772455,0.8382352941176471,0.4246110029454963,0.9432898908066221
CatBoost,2,31,0.10778443113772455,0.8529411764705882,0.4160439695945341,0.9432898908066221
CatBoost,2,32,0.12574850299401197,0.8529411764705882,0.3092239353961956,0.9432898908066221
CatBoost,2,33,0.12574850299401197,0.8676470588235294,0.3082836472540849,0.9432898908066221
CatBoost,2,34,0.1317365269461078,0.8676470588235294,0.2765700856137992,0.9432898908066221
CatBoost,2,35,0.1317365269461078,0.8823529411764706,0.2757287554337165,0.9432898908066221
CatBoost,2,36,0.1377245508982036,0.8823529411764706,0.2723039193099692,0.9432898908066221
CatBoost,2,37,0.1377245508982036,0.8970588235294118,0.2695238674773731,0.9432898908066221
CatBoost,2,38,0.18562874251497005,0.8970588235294118,0.2196356359039372,0.9432898908066221
CatBoost,2,39,0.18562874251497005,0.9117647058823529,0.2192056369414288,0.9432898908066221
CatBoost,2,40,0.19161676646706588,0.9117647058823529,0.2077859156315458,0.9432898908066221
CatBoost,2,41,0.19161676646706588,0.9264705882352942,0.2076704646314792,0.9432898908066221
CatBoost,2,42,0.20359281437125748,0.9264705882352942,0.2072548906946867,0.9432898908066221
CatBoost,2,43,0.20359281437125748,0.9411764705882353,0.1975646514541504,0.9432898908066221
CatBoost,2,44,0.20958083832335328,0.9411764705882353,0.1794235278433892,0.9432898908066221
CatBoost,2,45,0.20958083832335328,0.9558823529411765,0.174235337703847,0.9432898908066221
CatBoost,2,46,0.4550898203592814,0.9558823529411765,0.0606194111663849,0.9432898908066221
CatBoost,2,47,0.4550898203592814,0.9852941176470589,0.0514415490282736,0.9432898908066221
CatBoost,2,48,0.5508982035928144,0.9852941176470589,0.0342831849186879,0.9432898908066221
