Model,State,Threshold,Model_Net_Benefit,Treat_All_Net_Benefit,Treat_None_Net_Benefit,State_Prevalence,Interpretation
CatBoost,2,0.46,0.17178881008668243,-0.31599684791174154,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.47000000000000003,0.16940987555198717,-0.34082697711762355,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.48000000000000004,0.17086743044189853,-0.36661211129296245,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.49,0.1642052565707134,-0.3934084272006675,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.5,0.16170212765957448,-0.4212765957446809,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.51,0.16352583586626138,-0.4502822405557969,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.52,0.15673758865248225,-0.4804964539007094,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.53,0.15409687641466724,-0.5119963784517884,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.54,0.15134135060129505,-0.5448658649398707,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.55,0.15460992907801419,-0.5791962174940901,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.56,0.15203094777562864,-0.6150870406189557,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.5700000000000001,0.14507669470559126,-0.6526472043542804,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.5800000000000001,0.1481256332320162,-0.6919959473150966,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.59,0.1515308770108978,-0.7332641411520497,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.6,0.14468085106382977,-0.7765957446808509,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.61,0.1419530823786143,-0.8221494817239499,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.62,0.13908174692049272,-0.87010078387458,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.63,0.1433007475560667,-0.9206440483036229,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.64,0.1404255319148936,-0.9739952718676124,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.65,0.13313069908814587,-1.0303951367781157,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.66,0.12991239048811012,-1.0901126408010016,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.67,0.1264990328820116,-1.1534493874919411,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.68,0.1409574468085106,-1.2207446808510642,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.6900000000000001,0.13795470144131775,-1.2923816060398083,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.7000000000000001,0.13475177304964536,-1.3687943262411353,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.7100000000000001,0.13132795304475417,-1.450476889214968,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.72,0.1276595744680851,-1.5379939209726443,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.73,0.12371946414499606,-1.6319936958234829,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.74,0.11947626841243862,-1.7332242225859247,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.75,0.11063829787234043,-1.8425531914893618,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.76,0.10141843971631205,-1.9609929078014185,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.77,0.09602220166512487,-2.089731729879741,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.78,0.10522243713733076,-2.2301740812379114,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.79,0.11570415400202633,-2.383991894630193,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.8,0.10212765957446807,-2.5531914893617027,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.81,0.11466965285554308,-2.7402015677491613,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.8200000000000001,0.10969267139479902,-2.947990543735226,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.8300000000000001,0.099874843554443,-3.180225281602004,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.8400000000000001,0.08936170212765952,-3.4414893617021303,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.85,0.12624113475177307,-3.7375886524822697,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.86,0.12218844984802432,-4.075987841945288,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.87,0.1132569558101473,-4.466448445171849,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.88,0.09929078014184398,-4.921985815602837,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.89,0.08007736943907155,-5.460348162475823,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.9,0.09787234042553192,-6.106382978723405,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.91,0.08888888888888888,-6.895981087470452,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.92,0.07446808510638295,-7.882978723404261,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.93,0.04133738601823704,-9.151975683890583,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.9400000000000001,0.0851063829787234,-10.843971631205687,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.9500000000000001,0.07659574468085106,-13.21276595744683,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.9600000000000001,0.059574468085106386,-16.765957446808542,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.97,0.03829787234042553,-22.68794326241133,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,2,0.98,0.02127659574468085,-34.53191489361699,0.0,0.28936170212765955,One-versus-rest ecological decision utility
