Model,State,Bin,Count,Probability_Minimum,Probability_Maximum,Mean_Predicted_Probability,Observed_Fraction,Absolute_Calibration_Gap
Equal Soft Voting,2,10,24,0.9512575614622856,0.9933219812919102,0.9726936487624643,1.0,0.027306351237535664
Equal Soft Voting,3,1,24,0.0050522063530886,0.0347663008504436,0.02028931975509544,0.08333333333333333,0.06304401357823788
Equal Soft Voting,3,2,23,0.0356397075415248,0.0550859896578412,0.0476260343048665,0.13043478260869565,0.08280874830382914
Equal Soft Voting,3,3,24,0.0562898199343081,0.0995956718032271,0.07889123845159778,0.25,0.1711087615484022
Equal Soft Voting,3,4,23,0.1007714782793941,0.1364411189328175,0.11875495654054981,0.13043478260869565,0.01167982606814584
Equal Soft Voting,3,5,24,0.141598062485494,0.2208007200842308,0.1749185267417127,0.16666666666666666,0.008251860075046052
Equal Soft Voting,3,6,23,0.2246392082923625,0.3086415327288347,0.2660115913197611,0.43478260869565216,0.16877101737589106
Equal Soft Voting,3,7,23,0.3213025534068993,0.4747121256839825,0.4062036769882378,0.34782608695652173,0.05837759003171605
Equal Soft Voting,3,8,24,0.4789171024604052,0.8040101176224127,0.6453504659221655,0.625,0.020350465922165495
Equal Soft Voting,3,9,23,0.8063980030300861,0.9185818090496404,0.8740868158104307,0.8695652173913043,0.00452159841912636
Equal Soft Voting,3,10,24,0.9186404428600558,0.98511237868381,0.9456047455883473,0.875,0.07060474558834728
CNN-LSTM,1,1,24,0.0001408350799465,0.0030794730409979,0.0012368569672010124,0.0,0.0012368569672010124
CNN-LSTM,1,2,23,0.0035870322026312,0.0085791684687137,0.006317235245976715,0.0,0.006317235245976715
CNN-LSTM,1,3,24,0.0091631393879652,0.0196007825434207,0.013749579006495533,0.041666666666666664,0.027917087660171133
CNN-LSTM,1,4,23,0.0204271879047155,0.02912706322968,0.024995141055272934,0.0,0.024995141055272934
CNN-LSTM,1,5,24,0.0307105369865894,0.1325475424528122,0.061641701341917064,0.0,0.061641701341917064
CNN-LSTM,1,6,23,0.1521498262882232,0.3783678412437439,0.2508376726637716,0.21739130434782608,0.033446368315945524
CNN-LSTM,1,7,23,0.4012191295623779,0.664906919002533,0.530751408442207,0.6521739130434783,0.12142250460127124
CNN-LSTM,1,8,24,0.6723834872245789,0.8416290879249573,0.7683199991782507,0.875,0.10668000082174933
CNN-LSTM,1,9,23,0.844980001449585,0.8900236487388611,0.8649956454401431,0.7391304347826086,0.12586521065753442
CNN-LSTM,1,10,24,0.8916443586349487,0.977121114730835,0.9357631107171377,0.6666666666666666,0.26909644405047106
CNN-LSTM,2,1,24,0.0025908926036208,0.0104700122028589,0.005900685200079613,0.0,0.005900685200079613
CNN-LSTM,2,2,23,0.0113123506307601,0.0227892007678747,0.016037579180429765,0.0,0.016037579180429765
CNN-LSTM,2,3,24,0.0228837430477142,0.0378992706537246,0.028292045462876517,0.041666666666666664,0.013374621203790148
CNN-LSTM,2,4,23,0.0379997082054615,0.0712099075317382,0.056113702285548885,0.0,0.056113702285548885
CNN-LSTM,2,5,24,0.0717047303915023,0.1354516595602035,0.11161819286644455,0.041666666666666664,0.06995152619977787
CNN-LSTM,2,6,23,0.1373040229082107,0.2592092454433441,0.18812149892682611,0.2608695652173913,0.07274806629056518
CNN-LSTM,2,7,23,0.2619094550609588,0.4092870950698852,0.32237859394239343,0.30434782608695654,0.01803076785543689
CNN-LSTM,2,8,24,0.4119281768798828,0.788794755935669,0.6061539513369402,0.5,0.10615395133694017
CNN-LSTM,2,9,23,0.7930645942687988,0.9105094075202942,0.8628422462421915,0.7391304347826086,0.12371181145958288
CNN-LSTM,2,10,24,0.9147239923477172,0.9988988637924194,0.9585444803039233,1.0,0.04145551969607675
