Model,State,Point,Recall,Precision,Threshold,State_AUPRC,State_Prevalence
CatBoost,1,197,0.38666666666666666,0.7435897435897436,0.8235132307461056,0.7129268140009529,0.3191489361702128
CatBoost,1,198,0.37333333333333335,0.7368421052631579,0.8242353429711915,0.7129268140009529,0.3191489361702128
CatBoost,1,199,0.36,0.7297297297297297,0.8282624486366809,0.7129268140009529,0.3191489361702128
CatBoost,1,200,0.36,0.75,0.836282760507715,0.7129268140009529,0.3191489361702128
CatBoost,1,201,0.3466666666666667,0.7428571428571429,0.8398686822810126,0.7129268140009529,0.3191489361702128
CatBoost,1,202,0.3333333333333333,0.7352941176470589,0.8434667368479716,0.7129268140009529,0.3191489361702128
CatBoost,1,203,0.32,0.7272727272727273,0.843963983127235,0.7129268140009529,0.3191489361702128
CatBoost,1,204,0.30666666666666664,0.71875,0.8461132911060772,0.7129268140009529,0.3191489361702128
CatBoost,1,205,0.29333333333333333,0.7096774193548387,0.8461273612598196,0.7129268140009529,0.3191489361702128
CatBoost,1,206,0.28,0.7,0.8467836234263495,0.7129268140009529,0.3191489361702128
CatBoost,1,207,0.28,0.7241379310344828,0.8537430470033691,0.7129268140009529,0.3191489361702128
CatBoost,1,208,0.26666666666666666,0.7142857142857143,0.8557387266980133,0.7129268140009529,0.3191489361702128
CatBoost,1,209,0.25333333333333335,0.7037037037037037,0.8573703706016168,0.7129268140009529,0.3191489361702128
CatBoost,1,210,0.24,0.6923076923076923,0.8598626877827392,0.7129268140009529,0.3191489361702128
CatBoost,1,211,0.22666666666666666,0.68,0.8664606244579484,0.7129268140009529,0.3191489361702128
CatBoost,1,212,0.21333333333333335,0.6666666666666666,0.8673830466240919,0.7129268140009529,0.3191489361702128
CatBoost,1,213,0.2,0.6521739130434783,0.8684110573331767,0.7129268140009529,0.3191489361702128
CatBoost,1,214,0.18666666666666668,0.6363636363636364,0.8704120364249941,0.7129268140009529,0.3191489361702128
CatBoost,1,215,0.17333333333333334,0.6190476190476191,0.8704158284224447,0.7129268140009529,0.3191489361702128
CatBoost,1,216,0.16,0.6,0.8733210721128409,0.7129268140009529,0.3191489361702128
CatBoost,1,217,0.16,0.631578947368421,0.8740570526325881,0.7129268140009529,0.3191489361702128
CatBoost,1,218,0.14666666666666667,0.6111111111111112,0.8792097776223178,0.7129268140009529,0.3191489361702128
CatBoost,1,219,0.13333333333333333,0.5882352941176471,0.8866216019175466,0.7129268140009529,0.3191489361702128
CatBoost,1,220,0.12,0.5625,0.8970640413148468,0.7129268140009529,0.3191489361702128
CatBoost,1,221,0.10666666666666667,0.5333333333333333,0.8980848804860501,0.7129268140009529,0.3191489361702128
CatBoost,1,222,0.09333333333333334,0.5,0.8987496073354624,0.7129268140009529,0.3191489361702128
CatBoost,1,223,0.08,0.46153846153846156,0.8997083065383273,0.7129268140009529,0.3191489361702128
CatBoost,1,224,0.08,0.5,0.9009311879398516,0.7129268140009529,0.3191489361702128
CatBoost,1,225,0.06666666666666667,0.45454545454545453,0.9022964475571554,0.7129268140009529,0.3191489361702128
CatBoost,1,226,0.06666666666666667,0.5,0.9025212650823696,0.7129268140009529,0.3191489361702128
CatBoost,1,227,0.05333333333333334,0.4444444444444444,0.9025255588577988,0.7129268140009529,0.3191489361702128
CatBoost,1,228,0.05333333333333334,0.5,0.9116834671777208,0.7129268140009529,0.3191489361702128
CatBoost,1,229,0.04,0.42857142857142855,0.9152513760442532,0.7129268140009529,0.3191489361702128
CatBoost,1,230,0.04,0.5,0.9158246956303048,0.7129268140009529,0.3191489361702128
CatBoost,1,231,0.02666666666666667,0.4,0.9163314102890472,0.7129268140009529,0.3191489361702128
CatBoost,1,232,0.02666666666666667,0.5,0.9183227060629342,0.7129268140009529,0.3191489361702128
CatBoost,1,233,0.013333333333333334,0.3333333333333333,0.9405639162418012,0.7129268140009529,0.3191489361702128
CatBoost,1,234,0.013333333333333334,0.5,0.9538590934508128,0.7129268140009529,0.3191489361702128
CatBoost,1,235,0.013333333333333334,1.0,0.9712665185292222,0.7129268140009529,0.3191489361702128
CatBoost,1,236,0.0,1.0,,0.7129268140009529,0.3191489361702128
CatBoost,2,1,1.0,0.28936170212765955,0.0038888588302131,0.8926563570300081,0.28936170212765955
CatBoost,2,2,1.0,0.2905982905982906,0.0047098910163997,0.8926563570300081,0.28936170212765955
CatBoost,2,3,1.0,0.2918454935622318,0.0057120498926568,0.8926563570300081,0.28936170212765955
CatBoost,2,4,1.0,0.29310344827586204,0.0058402355450244,0.8926563570300081,0.28936170212765955
CatBoost,2,5,1.0,0.2943722943722944,0.0059455333795624,0.8926563570300081,0.28936170212765955
CatBoost,2,6,1.0,0.2956521739130435,0.0060187565843068,0.8926563570300081,0.28936170212765955
CatBoost,2,7,1.0,0.29694323144104806,0.0060933812983985,0.8926563570300081,0.28936170212765955
CatBoost,2,8,1.0,0.2982456140350877,0.006121856832544,0.8926563570300081,0.28936170212765955
CatBoost,2,9,1.0,0.29955947136563876,0.0064971444806615,0.8926563570300081,0.28936170212765955
CatBoost,2,10,1.0,0.3008849557522124,0.0069394384921307,0.8926563570300081,0.28936170212765955
CatBoost,2,11,1.0,0.3022222222222222,0.0069859813143476,0.8926563570300081,0.28936170212765955
CatBoost,2,12,1.0,0.30357142857142855,0.0070463511547162,0.8926563570300081,0.28936170212765955
CatBoost,2,13,1.0,0.30493273542600896,0.0074026638819962,0.8926563570300081,0.28936170212765955
CatBoost,2,14,1.0,0.3063063063063063,0.0077865147920223,0.8926563570300081,0.28936170212765955
CatBoost,2,15,1.0,0.3076923076923077,0.0078556700719561,0.8926563570300081,0.28936170212765955
CatBoost,2,16,1.0,0.3090909090909091,0.0081963532339012,0.8926563570300081,0.28936170212765955
CatBoost,2,17,1.0,0.3105022831050228,0.0083127636216204,0.8926563570300081,0.28936170212765955
CatBoost,2,18,1.0,0.3119266055045872,0.0086348765275492,0.8926563570300081,0.28936170212765955
CatBoost,2,19,1.0,0.31336405529953915,0.0091514760727091,0.8926563570300081,0.28936170212765955
CatBoost,2,20,1.0,0.3148148148148148,0.0092035196757837,0.8926563570300081,0.28936170212765955
CatBoost,2,21,1.0,0.31627906976744186,0.0092882304670073,0.8926563570300081,0.28936170212765955
CatBoost,2,22,1.0,0.3177570093457944,0.0095106483732544,0.8926563570300081,0.28936170212765955
CatBoost,2,23,1.0,0.3192488262910798,0.0099045721805761,0.8926563570300081,0.28936170212765955
CatBoost,2,24,1.0,0.32075471698113206,0.0103898117784437,0.8926563570300081,0.28936170212765955
