Year,Model,Number_of_Months,Accuracy,Balanced_Accuracy,Macro_F1,State_1_Recall,State_2_Recall,State_3_Recall
2010,Seasonal Baseline,12,0.8333333333333334,0.85,0.8380952380952381,0.8,1.0,0.75
2011,CatBoost,12,0.9166666666666666,0.8888888888888888,0.8962962962962964,1.0,1.0,0.6666666666666666
2011,Equal Soft Voting,12,0.75,0.7222222222222222,0.7157287157287157,1.0,0.5,0.6666666666666666
2011,CNN-LSTM,12,0.8333333333333334,0.8333333333333334,0.810966810966811,1.0,0.5,1.0
2011,TCN,12,0.5833333333333334,0.65,0.5786435786435786,0.2,0.75,1.0
2011,XGBoost,12,0.9166666666666666,0.9166666666666666,0.9220779220779219,1.0,0.75,1.0
2011,HistGradientBoosting,12,0.75,0.7222222222222222,0.7157287157287157,1.0,0.5,0.6666666666666666
2011,Seasonal Baseline,12,0.9166666666666666,0.9166666666666666,0.9220779220779219,1.0,0.75,1.0
2012,CatBoost,12,0.5833333333333334,0.611111111111111,0.6151515151515151,0.6666666666666666,0.6666666666666666,0.5
2012,Equal Soft Voting,12,0.6666666666666666,0.6666666666666666,0.6793650793650793,0.6666666666666666,0.6666666666666666,0.6666666666666666
2012,CNN-LSTM,12,0.75,0.8333333333333334,0.7777777777777777,1.0,1.0,0.5
2012,TCN,12,0.6666666666666666,0.7222222222222222,0.6746031746031745,0.6666666666666666,1.0,0.5
2012,XGBoost,12,0.5833333333333334,0.611111111111111,0.5888888888888889,0.6666666666666666,0.6666666666666666,0.5
2012,HistGradientBoosting,12,0.6666666666666666,0.6111111111111112,0.6380952380952382,0.3333333333333333,0.6666666666666666,0.8333333333333334
2012,Seasonal Baseline,12,0.6666666666666666,0.7222222222222222,0.6746031746031745,0.6666666666666666,1.0,0.5
2013,CatBoost,12,0.6666666666666666,0.7222222222222222,0.6746031746031745,0.6666666666666666,1.0,0.5
2013,Equal Soft Voting,12,0.6666666666666666,0.7222222222222222,0.6746031746031745,0.6666666666666666,1.0,0.5
2013,CNN-LSTM,12,0.75,0.8333333333333334,0.7777777777777777,1.0,1.0,0.5
2013,TCN,12,0.75,0.7777777777777777,0.7428571428571429,0.6666666666666666,1.0,0.6666666666666666
2013,XGBoost,12,0.75,0.7777777777777777,0.7428571428571429,0.6666666666666666,1.0,0.6666666666666666
2013,HistGradientBoosting,12,0.8333333333333334,0.8333333333333334,0.810966810966811,0.6666666666666666,1.0,0.8333333333333334
2013,Seasonal Baseline,12,0.6666666666666666,0.7222222222222222,0.6746031746031745,0.6666666666666666,1.0,0.5
2014,CatBoost,12,0.5833333333333334,0.5833333333333334,0.561111111111111,0.5,0.75,0.5
2014,Equal Soft Voting,12,0.5833333333333334,0.5833333333333334,0.561111111111111,0.5,0.75,0.5
2014,CNN-LSTM,12,0.4166666666666667,0.4444444444444444,0.41904761904761906,0.5,0.5,0.3333333333333333
2014,TCN,12,0.4166666666666667,0.4444444444444444,0.41904761904761906,0.5,0.5,0.3333333333333333
2014,XGBoost,12,0.5,0.4166666666666667,0.4318181818181818,0.0,0.75,0.5
2014,HistGradientBoosting,12,0.5833333333333334,0.5833333333333334,0.561111111111111,0.5,0.75,0.5
2014,Seasonal Baseline,12,0.5,0.5277777777777778,0.4933862433862433,0.5,0.75,0.3333333333333333
2015,CatBoost,12,0.6666666666666666,0.8095238095238094,0.6444444444444444,1.0,1.0,0.42857142857142855
2015,Equal Soft Voting,12,0.5833333333333334,0.7261904761904762,0.580952380952381,1.0,0.75,0.42857142857142855
