Months,Year,Month_Number,Model,True_State,Predicted_State,Correct,Maximum_Probability
2014-09-01,2014,9,CatBoost,2,3,False,0.9585025116786208
2014-10-01,2014,10,CatBoost,3,3,True,0.8741960760158201
2014-11-01,2014,11,CatBoost,3,3,True,0.8586888303247864
2014-12-01,2014,12,CatBoost,3,3,True,0.8535317963994709
2015-01-01,2015,1,CatBoost,3,1,False,0.7542932310877818
2015-02-01,2015,2,CatBoost,3,1,False,0.7510627803413777
2015-03-01,2015,3,CatBoost,3,1,False,0.9152513760442532
2015-04-01,2015,4,CatBoost,1,1,True,0.759646644556122
2015-05-01,2015,5,CatBoost,2,2,True,0.5144568817494165
2015-06-01,2015,6,CatBoost,2,2,True,0.8215743974403021
2015-07-01,2015,7,CatBoost,2,2,True,0.8840369617892457
2015-08-01,2015,8,CatBoost,2,2,True,0.7933162436459509
2015-09-01,2015,9,CatBoost,3,3,True,0.6982686546766306
2015-10-01,2015,10,CatBoost,3,3,True,0.9244930841746732
2015-11-01,2015,11,CatBoost,3,3,True,0.8032551899971215
2015-12-01,2015,12,CatBoost,3,1,False,0.5235961917817237
2016-01-01,2016,1,CatBoost,3,1,False,0.596923439121036
2016-02-01,2016,2,CatBoost,3,1,False,0.529088587814453
2016-03-01,2016,3,CatBoost,3,1,False,0.5461825348427076
2016-04-01,2016,4,CatBoost,3,1,False,0.3817272335199187
2016-05-01,2016,5,CatBoost,1,2,False,0.5067049022543184
2016-06-01,2016,6,CatBoost,2,2,True,0.7581918352477279
2016-07-01,2016,7,CatBoost,2,2,True,0.7472223477223975
2016-08-01,2016,8,CatBoost,2,2,True,0.6415683761644981
2016-09-01,2016,9,CatBoost,2,3,False,0.5798085133781057
2016-10-01,2016,10,CatBoost,3,3,True,0.5847629476443366
2016-11-01,2016,11,CatBoost,2,3,False,0.4532954338459435
2016-12-01,2016,12,CatBoost,1,1,True,0.5130048692356433
2017-01-01,2017,1,CatBoost,1,1,True,0.5807027350910703
2017-02-01,2017,2,CatBoost,1,1,True,0.6936253086817922
2017-03-01,2017,3,CatBoost,1,1,True,0.5256587679410493
2017-04-01,2017,4,CatBoost,1,3,False,0.4786304545770143
2017-05-01,2017,5,CatBoost,3,2,False,0.8490610469824654
2017-06-01,2017,6,CatBoost,2,2,True,0.9753008805432238
2017-07-01,2017,7,CatBoost,2,2,True,0.963641583279855
2017-08-01,2017,8,CatBoost,2,2,True,0.9161732542661388
2017-09-01,2017,9,CatBoost,3,3,True,0.8426800260150058
2017-10-01,2017,10,CatBoost,2,3,False,0.931740605658798
2017-11-01,2017,11,CatBoost,2,3,False,0.7343630346827167
2017-12-01,2017,12,CatBoost,1,1,True,0.7179285718834085
2018-01-01,2018,1,CatBoost,1,1,True,0.8664606244579484
2018-02-01,2018,2,CatBoost,1,1,True,0.9025212650823696
2018-03-01,2018,3,CatBoost,1,1,True,0.6968797963866082
2018-04-01,2018,4,CatBoost,3,1,False,0.7424481181025511
2018-05-01,2018,5,CatBoost,3,2,False,0.6729321153978465
2018-06-01,2018,6,CatBoost,2,2,True,0.9595641486203662
2018-07-01,2018,7,CatBoost,2,2,True,0.9632620784265804
2018-08-01,2018,8,CatBoost,2,3,False,0.7605266951090676
2018-09-01,2018,9,CatBoost,3,3,True,0.891460118742924
2018-10-01,2018,10,CatBoost,3,3,True,0.9328270760670058
2018-11-01,2018,11,CatBoost,2,3,False,0.9103796418370786
2018-12-01,2018,12,CatBoost,1,1,True,0.5914394841818711
2019-01-01,2019,1,CatBoost,1,1,True,0.7777006765003769
2019-02-01,2019,2,CatBoost,1,1,True,0.7467635306213439
2019-03-01,2019,3,CatBoost,1,1,True,0.6594547891862239
2019-04-01,2019,4,CatBoost,1,1,True,0.8163840032074923
2019-05-01,2019,5,CatBoost,3,3,True,0.4852353956564319
2019-06-01,2019,6,CatBoost,2,2,True,0.9115060377898864
2019-07-01,2019,7,CatBoost,2,2,True,0.982786348341646
2019-08-01,2019,8,CatBoost,3,2,False,0.5472683019172287
2019-09-01,2019,9,CatBoost,3,3,True,0.7235789802355941
2019-10-01,2019,10,CatBoost,3,3,True,0.9413375506638916
2019-11-01,2019,11,CatBoost,3,3,True,0.566400606532255
2019-12-01,2019,12,CatBoost,1,1,True,0.7128497776630431
2020-01-01,2020,1,CatBoost,1,1,True,0.7584393584933513
2020-02-01,2020,2,CatBoost,1,1,True,0.6749206527979229
2020-03-01,2020,3,CatBoost,1,1,True,0.5624032776554312
2020-04-01,2020,4,CatBoost,3,1,False,0.744996008140242
2020-05-01,2020,5,CatBoost,2,2,True,0.4334120373732312
2020-06-01,2020,6,CatBoost,3,2,False,0.6707955333045804
2020-07-01,2020,7,CatBoost,2,2,True,0.920283932665192
2020-08-01,2020,8,CatBoost,2,2,True,0.8415512971623932
2020-09-01,2020,9,CatBoost,3,3,True,0.7272166975830302
2020-10-01,2020,10,CatBoost,3,3,True,0.7095576373424227
2020-11-01,2020,11,CatBoost,2,3,False,0.6947750480760543
2020-12-01,2020,12,CatBoost,1,1,True,0.8151259037168755
2021-01-01,2021,1,CatBoost,1,1,True,0.8242353429711915
2021-02-01,2021,2,CatBoost,1,1,True,0.7402561145790493
2021-03-01,2021,3,CatBoost,1,1,True,0.7103206962519207
2021-04-01,2021,4,CatBoost,3,1,False,0.4703891365827417
2021-05-01,2021,5,CatBoost,3,2,False,0.8011787740713077
2021-06-01,2021,6,CatBoost,2,2,True,0.8656488805775989
2021-07-01,2021,7,CatBoost,2,2,True,0.924413890135206
2021-08-01,2021,8,CatBoost,3,2,False,0.5420592565246551
2021-09-01,2021,9,CatBoost,3,3,True,0.4775178474722675
2021-10-01,2021,10,CatBoost,3,3,True,0.7143230504076625
2021-11-01,2021,11,CatBoost,2,3,False,0.7513681239541282
2021-12-01,2021,12,CatBoost,1,1,True,0.7259022846642008
2022-01-01,2022,1,CatBoost,1,1,True,0.8684110573331767
2022-02-01,2022,2,CatBoost,1,1,True,0.9183227060629342
2022-03-01,2022,3,CatBoost,3,1,False,0.9163314102890472
2022-04-01,2022,4,CatBoost,3,1,False,0.6522698150993239
2022-05-01,2022,5,CatBoost,3,2,False,0.7710885343148072
2022-06-01,2022,6,CatBoost,2,2,True,0.9404118137766928
2022-07-01,2022,7,CatBoost,2,2,True,0.984425191827478
2022-08-01,2022,8,CatBoost,3,2,False,0.8938571722451184
2022-09-01,2022,9,CatBoost,3,3,True,0.8856617532586796
2022-10-01,2022,10,CatBoost,3,3,True,0.7423307103330088
2022-11-01,2022,11,CatBoost,2,3,False,0.5335158285966746
2022-12-01,2022,12,CatBoost,1,1,True,0.608125216777059
2003-06-01,2003,6,Equal Soft Voting,2,2,True,0.9659545510185694
2003-07-01,2003,7,Equal Soft Voting,2,2,True,0.9640099464079586
2003-08-01,2003,8,Equal Soft Voting,3,2,False,0.9433566409727376
2003-09-01,2003,9,Equal Soft Voting,3,3,True,0.8486664872248807
2003-10-01,2003,10,Equal Soft Voting,3,3,True,0.9185818090496404
2003-11-01,2003,11,Equal Soft Voting,3,3,True,0.910025834130292
2003-12-01,2003,12,Equal Soft Voting,3,1,False,0.5691745018113505
2004-01-01,2004,1,Equal Soft Voting,1,1,True,0.9113368218275424
2004-02-01,2004,2,Equal Soft Voting,1,1,True,0.944529424965849
2004-03-01,2004,3,Equal Soft Voting,1,1,True,0.9268439227453974
2004-04-01,2004,4,Equal Soft Voting,1,1,True,0.9383313414832252
2004-05-01,2004,5,Equal Soft Voting,1,2,False,0.8380640529998162
2004-06-01,2004,6,Equal Soft Voting,2,2,True,0.9380440685777726
2004-07-01,2004,7,Equal Soft Voting,2,2,True,0.9794283554263438
2004-08-01,2004,8,Equal Soft Voting,3,2,False,0.7929417445830049
2004-09-01,2004,9,Equal Soft Voting,3,3,True,0.950414851258176
2004-10-01,2004,10,Equal Soft Voting,3,3,True,0.9482134452087896
2004-11-01,2004,11,Equal Soft Voting,3,3,True,0.899369726162551
2004-12-01,2004,12,Equal Soft Voting,3,1,False,0.6078846454639193
2005-01-01,2005,1,Equal Soft Voting,1,1,True,0.8536072723805311
2005-02-01,2005,2,Equal Soft Voting,1,1,True,0.8527304334130749
2005-03-01,2005,3,Equal Soft Voting,1,1,True,0.8597363969027323
2005-04-01,2005,4,Equal Soft Voting,1,1,True,0.8900336190506072
2005-05-01,2005,5,Equal Soft Voting,2,1,False,0.5602461384120524
2005-06-01,2005,6,Equal Soft Voting,2,2,True,0.9303562444651732
2005-07-01,2005,7,Equal Soft Voting,2,2,True,0.9527493142249202
2005-08-01,2005,8,Equal Soft Voting,3,3,True,0.6543862635179677
2005-09-01,2005,9,Equal Soft Voting,3,3,True,0.9186404428600558
2005-10-01,2005,10,Equal Soft Voting,3,3,True,0.9254823299567828
2005-11-01,2005,11,Equal Soft Voting,3,3,True,0.8987462849473152
2005-12-01,2005,12,Equal Soft Voting,1,1,True,0.7975998156731715
2006-01-01,2006,1,Equal Soft Voting,1,1,True,0.9338210022150912
2006-02-01,2006,2,Equal Soft Voting,1,1,True,0.9368724658752148
2006-03-01,2006,3,Equal Soft Voting,1,1,True,0.8669047437069404
2006-04-01,2006,4,Equal Soft Voting,1,1,True,0.9228692984396102
2006-05-01,2006,5,Equal Soft Voting,1,1,True,0.791272817133526
2006-06-01,2006,6,Equal Soft Voting,2,2,True,0.9342532238070854
2006-07-01,2006,7,Equal Soft Voting,2,2,True,0.9481068036502406
2006-08-01,2006,8,Equal Soft Voting,2,2,True,0.9755789942391944
2006-09-01,2006,9,Equal Soft Voting,3,3,True,0.9448463197779547
2006-10-01,2006,10,Equal Soft Voting,3,3,True,0.9626589641649376
2006-11-01,2006,11,Equal Soft Voting,3,3,True,0.7341340291707378
2006-12-01,2006,12,Equal Soft Voting,3,1,False,0.7262519356642135
2007-01-01,2007,1,Equal Soft Voting,1,1,True,0.9382262988102184
2007-02-01,2007,2,Equal Soft Voting,1,1,True,0.95615442626629
2007-03-01,2007,3,Equal Soft Voting,1,1,True,0.7327771975526277
2007-04-01,2007,4,Equal Soft Voting,1,1,True,0.9191882958388168
2007-05-01,2007,5,Equal Soft Voting,2,2,True,0.7093577577433603
2007-06-01,2007,6,Equal Soft Voting,2,2,True,0.9835298703377164
2007-07-01,2007,7,Equal Soft Voting,2,2,True,0.9886760357546276
2007-08-01,2007,8,Equal Soft Voting,2,2,True,0.912379309879632
2007-09-01,2007,9,Equal Soft Voting,3,3,True,0.876390929995301
2007-10-01,2007,10,Equal Soft Voting,3,3,True,0.9250055162281492
2007-11-01,2007,11,Equal Soft Voting,3,3,True,0.8490306267341685
2007-12-01,2007,12,Equal Soft Voting,1,1,True,0.7017825147911406
2008-01-01,2008,1,Equal Soft Voting,3,1,False,0.8848293424624032
2008-02-01,2008,2,Equal Soft Voting,1,1,True,0.9103385315803312
2008-03-01,2008,3,Equal Soft Voting,1,1,True,0.898948856696632
2008-04-01,2008,4,Equal Soft Voting,1,1,True,0.7633765342582052
2008-05-01,2008,5,Equal Soft Voting,2,2,True,0.6729091444058652
2008-06-01,2008,6,Equal Soft Voting,2,2,True,0.819862947740234
2008-07-01,2008,7,Equal Soft Voting,2,2,True,0.9738066838210933
2008-08-01,2008,8,Equal Soft Voting,3,2,False,0.9164376021739864
2008-09-01,2008,9,Equal Soft Voting,3,3,True,0.9366697326648448
2008-10-01,2008,10,Equal Soft Voting,3,3,True,0.9629233684525296
2008-11-01,2008,11,Equal Soft Voting,3,3,True,0.8435084778046562
2008-12-01,2008,12,Equal Soft Voting,1,1,True,0.5433925326480028
2009-01-01,2009,1,Equal Soft Voting,1,1,True,0.9658984806830712
2009-02-01,2009,2,Equal Soft Voting,1,1,True,0.8428597563435796
2009-03-01,2009,3,Equal Soft Voting,1,1,True,0.9174966379292055
2009-04-01,2009,4,Equal Soft Voting,1,1,True,0.8879225429307432
2009-05-01,2009,5,Equal Soft Voting,2,2,True,0.7566115579693219
2009-06-01,2009,6,Equal Soft Voting,2,2,True,0.975232394760564
2009-07-01,2009,7,Equal Soft Voting,2,2,True,0.9933219812919102
2009-08-01,2009,8,Equal Soft Voting,2,2,True,0.7481756236734679
2009-09-01,2009,9,Equal Soft Voting,3,3,True,0.9635419624017608
2009-10-01,2009,10,Equal Soft Voting,3,3,True,0.98511237868381
2009-11-01,2009,11,Equal Soft Voting,3,3,True,0.972422801095242
2009-12-01,2009,12,Equal Soft Voting,1,3,False,0.9157532990727516
2010-01-01,2010,1,Equal Soft Voting,1,1,True,0.8165807736114147
2010-02-01,2010,2,Equal Soft Voting,1,1,True,0.7812042513260699
2010-03-01,2010,3,Equal Soft Voting,1,1,True,0.5741471882408928
2010-04-01,2010,4,Equal Soft Voting,1,1,True,0.8552710508660596
2010-05-01,2010,5,Equal Soft Voting,1,1,True,0.768972889455933
2010-06-01,2010,6,Equal Soft Voting,2,2,True,0.9659974887788292
2010-07-01,2010,7,Equal Soft Voting,2,2,True,0.9512575614622856
2010-08-01,2010,8,Equal Soft Voting,2,2,True,0.9359056939049688
2010-09-01,2010,9,Equal Soft Voting,3,3,True,0.8040101176224127
2010-10-01,2010,10,Equal Soft Voting,3,3,True,0.8740754472044423
2010-11-01,2010,11,Equal Soft Voting,3,3,True,0.8609542133604532
2010-12-01,2010,12,Equal Soft Voting,3,1,False,0.8847306615520294
2011-01-01,2011,1,Equal Soft Voting,1,1,True,0.8635790421822552
2011-02-01,2011,2,Equal Soft Voting,1,1,True,0.8937029574683143
2011-03-01,2011,3,Equal Soft Voting,1,1,True,0.9017801637935832
2011-04-01,2011,4,Equal Soft Voting,1,1,True,0.9246445152101598
2011-05-01,2011,5,Equal Soft Voting,2,1,False,0.5322334899370641
2011-06-01,2011,6,Equal Soft Voting,2,2,True,0.7967496783586516
2011-07-01,2011,7,Equal Soft Voting,2,2,True,0.9670782647439736
2011-08-01,2011,8,Equal Soft Voting,2,3,False,0.5091835668921977
2011-09-01,2011,9,Equal Soft Voting,3,3,True,0.9221971525500662
2011-10-01,2011,10,Equal Soft Voting,3,3,True,0.9177218849181362
2011-11-01,2011,11,Equal Soft Voting,3,2,False,0.6275477164328103
2011-12-01,2011,12,Equal Soft Voting,1,1,True,0.6383666362088706
2012-01-01,2012,1,Equal Soft Voting,1,1,True,0.8266635403498926
2012-02-01,2012,2,Equal Soft Voting,3,1,False,0.6997970206091124
2012-03-01,2012,3,Equal Soft Voting,3,1,False,0.8888477342383071
2012-04-01,2012,4,Equal Soft Voting,1,1,True,0.6737859448813688
2012-05-01,2012,5,Equal Soft Voting,1,3,False,0.4509393252153574
2012-06-01,2012,6,Equal Soft Voting,2,2,True,0.935923636594584
2012-07-01,2012,7,Equal Soft Voting,2,2,True,0.9588048594078792
2012-08-01,2012,8,Equal Soft Voting,2,3,False,0.6670649552781426
2012-09-01,2012,9,Equal Soft Voting,3,3,True,0.9355555956490076
2012-10-01,2012,10,Equal Soft Voting,3,3,True,0.9294131335831022
2012-11-01,2012,11,Equal Soft Voting,3,3,True,0.9099459429459338
2012-12-01,2012,12,Equal Soft Voting,3,3,True,0.6037661797584001
2013-01-01,2013,1,Equal Soft Voting,1,1,True,0.8096023026011738
2013-02-01,2013,2,Equal Soft Voting,3,1,False,0.5664025359575138
2013-03-01,2013,3,Equal Soft Voting,3,1,False,0.914801845596806
2013-04-01,2013,4,Equal Soft Voting,1,1,True,0.8749974291814623
2013-05-01,2013,5,Equal Soft Voting,1,2,False,0.5554382006917875
2013-06-01,2013,6,Equal Soft Voting,2,2,True,0.9454336964658054
2013-07-01,2013,7,Equal Soft Voting,2,2,True,0.9739095183593584
2013-08-01,2013,8,Equal Soft Voting,2,2,True,0.943709716661154
2013-09-01,2013,9,Equal Soft Voting,3,3,True,0.9319814578904204
2013-10-01,2013,10,Equal Soft Voting,3,3,True,0.9259279781052192
2013-11-01,2013,11,Equal Soft Voting,3,3,True,0.8807041657410469
2013-12-01,2013,12,Equal Soft Voting,3,1,False,0.5029042576741908
2014-01-01,2014,1,Equal Soft Voting,3,1,False,0.9346554345095092
2014-02-01,2014,2,Equal Soft Voting,3,1,False,0.9685043593098394
2014-03-01,2014,3,Equal Soft Voting,3,1,False,0.9503292299019366
2014-04-01,2014,4,Equal Soft Voting,1,1,True,0.5543696095692916
2014-05-01,2014,5,Equal Soft Voting,1,2,False,0.7015453631067534
2014-06-01,2014,6,Equal Soft Voting,2,2,True,0.9854793246793206
2014-07-01,2014,7,Equal Soft Voting,2,2,True,0.9787365120907814
2014-08-01,2014,8,Equal Soft Voting,2,2,True,0.8517240623848243
2014-09-01,2014,9,Equal Soft Voting,2,3,False,0.9695314871503904
2014-10-01,2014,10,Equal Soft Voting,3,3,True,0.9425388168990656
2014-11-01,2014,11,Equal Soft Voting,3,3,True,0.9080352254774264
2014-12-01,2014,12,Equal Soft Voting,3,3,True,0.8063980030300861
2015-01-01,2015,1,Equal Soft Voting,3,1,False,0.6849473785357144
2015-02-01,2015,2,Equal Soft Voting,3,1,False,0.5613678944617196
2015-03-01,2015,3,Equal Soft Voting,3,1,False,0.7494212611338433
2015-04-01,2015,4,Equal Soft Voting,1,1,True,0.6502244339515977
2015-05-01,2015,5,Equal Soft Voting,2,1,False,0.5133208437865683
2015-06-01,2015,6,Equal Soft Voting,2,2,True,0.8947273630543106
2015-07-01,2015,7,Equal Soft Voting,2,2,True,0.9325804475294474
2015-08-01,2015,8,Equal Soft Voting,2,2,True,0.8704524758733685
2015-09-01,2015,9,Equal Soft Voting,3,3,True,0.7283512049626549
2015-10-01,2015,10,Equal Soft Voting,3,3,True,0.9596357943385396
2015-11-01,2015,11,Equal Soft Voting,3,3,True,0.7092907038942414
2015-12-01,2015,12,Equal Soft Voting,3,1,False,0.6666682912442239
2016-01-01,2016,1,Equal Soft Voting,3,1,False,0.6684293294450746
2016-02-01,2016,2,Equal Soft Voting,3,1,False,0.7170887954071471
2016-03-01,2016,3,Equal Soft Voting,3,3,True,0.5251244560896754
2016-04-01,2016,4,Equal Soft Voting,3,1,False,0.4916825914568972
2016-05-01,2016,5,Equal Soft Voting,1,3,False,0.4789171024604052
2016-06-01,2016,6,Equal Soft Voting,2,2,True,0.9103107372291582
2016-07-01,2016,7,Equal Soft Voting,2,2,True,0.9021714837962214
2016-08-01,2016,8,Equal Soft Voting,2,2,True,0.8562208601568052
2016-09-01,2016,9,Equal Soft Voting,2,3,False,0.8406036916295262
2016-10-01,2016,10,Equal Soft Voting,3,3,True,0.7049163813056847
2016-11-01,2016,11,Equal Soft Voting,2,3,False,0.6433197761551452
2016-12-01,2016,12,Equal Soft Voting,1,1,True,0.7583985314209943
2017-01-01,2017,1,Equal Soft Voting,1,3,False,0.6649180723664324
2017-02-01,2017,2,Equal Soft Voting,1,1,True,0.5396321046786571
2017-03-01,2017,3,Equal Soft Voting,1,1,True,0.7119442988160273
