Model,State,Threshold,TP,FN,FP,TN,Sensitivity,Specificity,Precision,F1,Youden_J,Predicted_Positive_Rate
CatBoost,1,0.8200000000000001,29,46,10,150,0.38666666666666666,0.9375,0.7435897435897436,0.5087719298245614,0.3241666666666667,0.16595744680851063
CatBoost,1,0.8300000000000001,27,48,9,151,0.36,0.94375,0.75,0.48648648648648657,0.30374999999999996,0.15319148936170213
CatBoost,1,0.8400000000000001,25,50,9,151,0.3333333333333333,0.94375,0.7352941176470589,0.45871559633027525,0.27708333333333335,0.14468085106382977
CatBoost,1,0.85,21,54,8,152,0.28,0.95,0.7241379310344828,0.40384615384615385,0.22999999999999998,0.12340425531914893
CatBoost,1,0.86,17,58,8,152,0.22666666666666666,0.95,0.68,0.34,0.17666666666666653,0.10638297872340426
CatBoost,1,0.87,14,61,8,152,0.18666666666666668,0.95,0.6363636363636364,0.288659793814433,0.13666666666666671,0.09361702127659574
CatBoost,1,0.88,10,65,7,153,0.13333333333333333,0.95625,0.5882352941176471,0.21739130434782608,0.08958333333333335,0.07234042553191489
CatBoost,1,0.89,9,66,7,153,0.12,0.95625,0.5625,0.19780219780219782,0.07624999999999993,0.06808510638297872
CatBoost,1,0.9,6,69,6,154,0.08,0.9625,0.5,0.13793103448275865,0.04249999999999998,0.05106382978723404
CatBoost,1,0.91,4,71,4,156,0.05333333333333334,0.975,0.5,0.0963855421686747,0.02833333333333332,0.03404255319148936
CatBoost,1,0.92,1,74,2,158,0.013333333333333334,0.9875,0.3333333333333333,0.025641025641025644,0.0008333333333334636,0.01276595744680851
CatBoost,1,0.93,1,74,2,158,0.013333333333333334,0.9875,0.3333333333333333,0.025641025641025644,0.0008333333333334636,0.01276595744680851
CatBoost,1,0.9400000000000001,1,74,2,158,0.013333333333333334,0.9875,0.3333333333333333,0.025641025641025644,0.0008333333333334636,0.01276595744680851
CatBoost,1,0.9500000000000001,1,74,1,159,0.013333333333333334,0.99375,0.5,0.025974025974025976,0.00708333333333333,0.00851063829787234
CatBoost,1,0.9600000000000001,1,74,0,160,0.013333333333333334,1.0,1.0,0.02631578947368421,0.01333333333333342,0.00425531914893617
CatBoost,1,0.97,1,74,0,160,0.013333333333333334,1.0,1.0,0.02631578947368421,0.01333333333333342,0.00425531914893617
CatBoost,1,0.98,0,75,0,160,0.0,1.0,,,0.0,0.0
CatBoost,1,0.99,0,75,0,160,0.0,1.0,,,0.0,0.0
CatBoost,2,0.01,68,0,144,23,1.0,0.1377245508982036,0.32075471698113206,0.4857142857142857,0.13772455089820368,0.902127659574468
CatBoost,2,0.02,68,0,110,57,1.0,0.3413173652694611,0.38202247191011235,0.5528455284552846,0.341317365269461,0.7574468085106383
CatBoost,2,0.03,68,0,95,72,1.0,0.4311377245508982,0.4171779141104294,0.5887445887445887,0.43113772455089827,0.6936170212765957
CatBoost,2,0.04,67,1,85,82,0.9852941176470589,0.49101796407185627,0.4407894736842105,0.609090909090909,0.47631208171891526,0.6468085106382979
CatBoost,2,0.05,67,1,76,91,0.9852941176470589,0.5449101796407185,0.46853146853146854,0.6350710900473934,0.5302042972877774,0.6085106382978723
CatBoost,2,0.060000000000000005,65,3,76,91,0.9558823529411765,0.5449101796407185,0.46099290780141844,0.6220095693779905,0.5007925325818952,0.6
CatBoost,2,0.06999999999999999,65,3,74,93,0.9558823529411765,0.5568862275449101,0.4676258992805755,0.6280193236714976,0.5127685804860866,0.5914893617021276
CatBoost,2,0.08,65,3,70,97,0.9558823529411765,0.5808383233532934,0.48148148148148145,0.6403940886699507,0.5367206762944701,0.574468085106383
CatBoost,2,0.09,65,3,64,103,0.9558823529411765,0.6167664670658682,0.5038759689922481,0.6598984771573604,0.5726488200070448,0.548936170212766
CatBoost,2,0.09999999999999999,65,3,63,104,0.9558823529411765,0.6227544910179641,0.5078125,0.6632653061224489,0.5786368439591407,0.5446808510638298
CatBoost,2,0.11,65,3,53,114,0.9558823529411765,0.6826347305389222,0.5508474576271186,0.6989247311827957,0.6385170834800986,0.502127659574468
CatBoost,2,0.12,65,3,51,116,0.9558823529411765,0.6946107784431138,0.5603448275862069,0.7065217391304347,0.6504931313842903,0.49361702127659574
CatBoost,2,0.13,65,3,47,120,0.9558823529411765,0.718562874251497,0.5803571428571429,0.7222222222222223,0.6744452271926735,0.4765957446808511
CatBoost,2,0.14,65,3,46,121,0.9558823529411765,0.7245508982035929,0.5855855855855856,0.7262569832402236,0.6804332511447693,0.4723404255319149
CatBoost,2,0.15000000000000002,65,3,41,126,0.9558823529411765,0.7544910179640718,0.6132075471698113,0.7471264367816092,0.7103733709052484,0.451063829787234
CatBoost,2,0.16,65,3,36,131,0.9558823529411765,0.7844311377245509,0.6435643564356436,0.7692307692307693,0.7403134906657274,0.4297872340425532
