Run_Type,Test_Year,Model,Best_Inner_Balanced_Accuracy,Best_Parameters
Outer_LOYO,2013,XGBoost,0.7811738764331645,"{""n_estimators"": 350, ""max_depth"": 6, ""learning_rate"": 0.05810994411886227, ""min_child_weight"": 8.88077047051384, ""subsample"": 0.8200280247436001, ""colsample_bytree"": 0.8871095420444719, ""gamma"": 0.7090853229066391, ""reg_alpha"": 0.00122598501591072, ""reg_lambda"": 1.3555835223350199}"
Outer_LOYO,2013,HistGradientBoosting,0.7777258624588347,"{""max_iter"": 250, ""learning_rate"": 0.11482011001388479, ""max_leaf_nodes"": 16, ""max_depth"": 3, ""min_samples_leaf"": 5, ""l2_regularization"": 1.1193088445356367}"
Outer_LOYO,2014,CatBoost,0.8010210517466709,"{""iterations"": 750, ""depth"": 5, ""learning_rate"": 0.07840612815421687, ""l2_leaf_reg"": 19.022065860850923, ""random_strength"": 1.5727640676842956, ""bagging_temperature"": 1.3505976483448294, ""border_count"": 64}"
Outer_LOYO,2014,XGBoost,0.8038377525896876,"{""n_estimators"": 400, ""max_depth"": 4, ""learning_rate"": 0.02079837925964849, ""min_child_weight"": 7.545489312458552, ""subsample"": 0.7399185730813691, ""colsample_bytree"": 0.7370152977345635, ""gamma"": 0.47222170193428503, ""reg_alpha"": 0.08376019970571447, ""reg_lambda"": 0.26305698169859065}"
Outer_LOYO,2014,HistGradientBoosting,0.7935312376392097,"{""max_iter"": 500, ""learning_rate"": 0.08082094047428341, ""max_leaf_nodes"": 14, ""max_depth"": 7, ""min_samples_leaf"": 13, ""l2_regularization"": 0.005542087104306609}"
Outer_LOYO,2015,CatBoost,0.7878566988996556,"{""iterations"": 800, ""depth"": 6, ""learning_rate"": 0.018553004067991256, ""l2_leaf_reg"": 2.5714368084680754, ""random_strength"": 0.7887349481948054, ""bagging_temperature"": 2.158481421740548, ""border_count"": 64}"
Outer_LOYO,2015,XGBoost,0.7932880245399595,"{""n_estimators"": 750, ""max_depth"": 6, ""learning_rate"": 0.019621564456723205, ""min_child_weight"": 7.954580253887837, ""subsample"": 0.6605789090919588, ""colsample_bytree"": 0.7477141944289056, ""gamma"": 0.052635463078228195, ""reg_alpha"": 0.02347807001049008, ""reg_lambda"": 2.893815200913109}"
Outer_LOYO,2015,HistGradientBoosting,0.7675306944947037,"{""max_iter"": 200, ""learning_rate"": 0.1295566972684527, ""max_leaf_nodes"": 19, ""max_depth"": 3, ""min_samples_leaf"": 11, ""l2_regularization"": 0.0019382927535803798}"
Outer_LOYO,2016,CatBoost,0.8115836097920665,"{""iterations"": 250, ""depth"": 7, ""learning_rate"": 0.010950487586274076, ""l2_leaf_reg"": 15.63521041179195, ""random_strength"": 0.02349752771194047, ""bagging_temperature"": 0.0019938772965577556, ""border_count"": 64}"
Outer_LOYO,2016,XGBoost,0.8047522527433182,"{""n_estimators"": 600, ""max_depth"": 3, ""learning_rate"": 0.019440646114372035, ""min_child_weight"": 3.992972499579545, ""subsample"": 0.7926783976831756, ""colsample_bytree"": 0.8173719734472294, ""gamma"": 0.6157299572193335, ""reg_alpha"": 0.0008167619404269676, ""reg_lambda"": 5.517287956929996}"
Outer_LOYO,2016,HistGradientBoosting,0.791460655136705,"{""max_iter"": 150, ""learning_rate"": 0.054152928583471704, ""max_leaf_nodes"": 16, ""max_depth"": 8, ""min_samples_leaf"": 5, ""l2_regularization"": 0.0031224341979190742}"
Outer_LOYO,2017,CatBoost,0.8055205767153034,"{""iterations"": 900, ""depth"": 7, ""learning_rate"": 0.01068815565074732, ""l2_leaf_reg"": 5.010784924860528, ""random_strength"": 1.8137376136471657, ""bagging_temperature"": 2.8642080381679573, ""border_count"": 64}"
Outer_LOYO,2017,XGBoost,0.7887151271009294,"{""n_estimators"": 550, ""max_depth"": 6, ""learning_rate"": 0.02034665877041887, ""min_child_weight"": 5.2049047125328025, ""subsample"": 0.6844659027030274, ""colsample_bytree"": 0.898095887274963, ""gamma"": 0.27615296177071547, ""reg_alpha"": 0.41109665430347214, ""reg_lambda"": 0.6395433675526325}"
Outer_LOYO,2017,HistGradientBoosting,0.7754030443222293,"{""max_iter"": 250, ""learning_rate"": 0.03413267074666, ""max_leaf_nodes"": 26, ""max_depth"": 6, ""min_samples_leaf"": 10, ""l2_regularization"": 0.001810056875850622}"
Outer_LOYO,2018,CatBoost,0.8391540066954826,"{""iterations"": 350, ""depth"": 6, ""learning_rate"": 0.05506962477951503, ""l2_leaf_reg"": 11.935897284265833, ""random_strength"": 1.5399648600926559, ""bagging_temperature"": 0.6559053794764804, ""border_count"": 128}"
Outer_LOYO,2018,XGBoost,0.8009596681922196,"{""n_estimators"": 650, ""max_depth"": 2, ""learning_rate"": 0.041333905646245596, ""min_child_weight"": 3.357335573182807, ""subsample"": 0.9114740221752238, ""colsample_bytree"": 0.8835046326270464, ""gamma"": 1.2183574939697657, ""reg_alpha"": 0.00043477690464553464, ""reg_lambda"": 4.9105975196605804}"
Outer_LOYO,2018,HistGradientBoosting,0.8211118526993814,"{""max_iter"": 450, ""learning_rate"": 0.1160213601008013, ""max_leaf_nodes"": 15, ""max_depth"": 6, ""min_samples_leaf"": 7, ""l2_regularization"": 4.292628387645173}"
Outer_LOYO,2019,CatBoost,0.7994153355468809,"{""iterations"": 700, ""depth"": 6, ""learning_rate"": 0.038067411104866375, ""l2_leaf_reg"": 10.012706884299114, ""random_strength"": 0.4597550427802307, ""bagging_temperature"": 0.01566132574892623, ""border_count"": 64}"
Outer_LOYO,2019,XGBoost,0.7957567098158868,"{""n_estimators"": 800, ""max_depth"": 4, ""learning_rate"": 0.02306083926294464, ""min_child_weight"": 2.1283251866263564, ""subsample"": 0.7333820434218625, ""colsample_bytree"": 0.712756338396827, ""gamma"": 1.4128230603304868, ""reg_alpha"": 0.012387444532752565, ""reg_lambda"": 1.578385608858126}"
Outer_LOYO,2019,HistGradientBoosting,0.7831807499887827,"{""max_iter"": 150, ""learning_rate"": 0.039928620722554264, ""max_leaf_nodes"": 13, ""max_depth"": 7, ""min_samples_leaf"": 9, ""l2_regularization"": 0.0172911294977154}"
Outer_LOYO,2020,CatBoost,0.8137619682375874,"{""iterations"": 900, ""depth"": 4, ""learning_rate"": 0.039404653762716624, ""l2_leaf_reg"": 19.66065583607454, ""random_strength"": 0.001532849382983148, ""bagging_temperature"": 1.331488130216599, ""border_count"": 64}"
Outer_LOYO,2020,XGBoost,0.7955127708978329,"{""n_estimators"": 650, ""max_depth"": 3, ""learning_rate"": 0.1055150116574924, ""min_child_weight"": 7.79570127137529, ""subsample"": 0.7285379402794064, ""colsample_bytree"": 0.7758870122276438, ""gamma"": 0.7890607067435644, ""reg_alpha"": 0.0019246145941054949, ""reg_lambda"": 0.3248432512732937}"
Outer_LOYO,2020,HistGradientBoosting,0.7612181085884646,"{""max_iter"": 150, ""learning_rate"": 0.021324224102358888, ""max_leaf_nodes"": 17, ""max_depth"": 2, ""min_samples_leaf"": 5, ""l2_regularization"": 0.00016159182095500582}"
Outer_LOYO,2021,CatBoost,0.80223956541681,"{""iterations"": 250, ""depth"": 5, ""learning_rate"": 0.02536408508116805, ""l2_leaf_reg"": 5.825785168642018, ""random_strength"": 0.5506902459190308, ""bagging_temperature"": 1.2716461699735624, ""border_count"": 128}"
Outer_LOYO,2021,XGBoost,0.7964811948171081,"{""n_estimators"": 750, ""max_depth"": 5, ""learning_rate"": 0.12768282782102067, ""min_child_weight"": 4.94742268365288, ""subsample"": 0.8985383400929572, ""colsample_bytree"": 0.699818532433105, ""gamma"": 1.637568696116103, ""reg_alpha"": 0.38860314615782465, ""reg_lambda"": 0.10127626539469618}"
Outer_LOYO,2021,HistGradientBoosting,0.7754486297442954,"{""max_iter"": 250, ""learning_rate"": 0.049227166123807245, ""max_leaf_nodes"": 25, ""max_depth"": 5, ""min_samples_leaf"": 11, ""l2_regularization"": 0.4945958505466033}"
Outer_LOYO,2022,CatBoost,0.8025012401350065,"{""iterations"": 900, ""depth"": 4, ""learning_rate"": 0.015007674450029452, ""l2_leaf_reg"": 1.0902426730264871, ""random_strength"": 1.896902339041362, ""bagging_temperature"": 1.5680152446614448, ""border_count"": 64}"
Outer_LOYO,2022,XGBoost,0.8049539031223982,"{""n_estimators"": 850, ""max_depth"": 3, ""learning_rate"": 0.10203871068153438, ""min_child_weight"": 9.114589696395571, ""subsample"": 0.7691415632635725, ""colsample_bytree"": 0.8375542397968261, ""gamma"": 1.0040648956859086, ""reg_alpha"": 0.0012296720430091004, ""reg_lambda"": 11.78665529438147}"
Outer_LOYO,2022,HistGradientBoosting,0.7929644149803323,"{""max_iter"": 200, ""learning_rate"": 0.051687754984387164, ""max_leaf_nodes"": 18, ""max_depth"": 5, ""min_samples_leaf"": 8, ""l2_regularization"": 0.18306455359164434}"
Final_Full_Data,NA,CatBoost,0.7875029063008603,"{""iterations"": 900, ""depth"": 7, ""learning_rate"": 0.016591180019422676, ""l2_leaf_reg"": 1.4001226404850373, ""random_strength"": 0.6027329721646597, ""bagging_temperature"": 1.4220935625428877, ""border_count"": 128}"
Final_Full_Data,NA,XGBoost,0.7876750221966604,"{""n_estimators"": 600, ""max_depth"": 3, ""learning_rate"": 0.016414501401171937, ""min_child_weight"": 5.091932530717819, ""subsample"": 0.7427689763764294, ""colsample_bytree"": 0.9151918636059118, ""gamma"": 1.2278689307007637, ""reg_alpha"": 0.00021774377285130184, ""reg_lambda"": 1.3974585121855123}"
Final_Full_Data,NA,HistGradientBoosting,0.7990121681661594,"{""max_iter"": 150, ""learning_rate"": 0.04775755323862435, ""max_leaf_nodes"": 17, ""max_depth"": 5, ""min_samples_leaf"": 9, ""l2_regularization"": 0.04268045920983233}"
